ticker,sector,approx_mktcap_usd
BRX,Real Estate,5000000000
BYD,Consumer Discretionary,5000000000
CAR,Industrials,5000000000
CAVA,Consumer Discretionary,5000000000
CBSH,Financials,5000000000
CBT,Materials,5000000000
CDP,Real Estate,5000000000
CELH,Consumer Staples,5000000000
CHDN,Consumer Discretionary,5000000000
CHE,Health Care,5000000000
CHH,Consumer Discretionary,5000000000
CHRD,Energy,5000000000
CHWY,Consumer Discretionary,5000000000
CLF,Materials,5000000000
CMC,Materials,5000000000
CNM,Industrials,5000000000
CNO,Financials,5000000000
CNX,Energy,5000000000
COLB,Financials,5000000000
COLM,Consumer Discretionary,5000000000
CPRI,Consumer Discretionary,5000000000
CROX,Consumer Discretionary,5000000000
CRUS,Information Technology,5000000000
CTRE,Real Estate,5000000000
CUBE,Real Estate,5000000000
CUZ,Real Estate,5000000000
CVLT,Information Technology,5000000000
CXT,Information Technology,5000000000
DBX,Information Technology,5000000000
DLB,Information Technology,5000000000
DOCS,Health Care,5000000000
DUOL,Consumer Discretionary,5000000000
DY,Industrials,5000000000
EEFT,Financials,5000000000
ELF,Consumer Staples,5000000000
ENS,Industrials,5000000000
EPR,Real Estate,5000000000
ESAB,Industrials,5000000000
ESNT,Financials,5000000000
EXLS,Industrials,5000000000
EXP,Materials,5000000000
EXPO,Industrials,5000000000
FAF,Financials,5000000000
FBIN,Industrials,5000000000
FCFS,Financials,5000000000
FCN,Industrials,5000000000
FFIN,Financials,5000000000
FHI,Financials,5000000000
FLG,Financials,5000000000
FLR,Industrials,5000000000
FNB,Financials,5000000000
FND,Consumer Discretionary,5000000000
FOUR,Financials,5000000000
FR,Real Estate,5000000000
G,Industrials,5000000000
GAP,Consumer Discretionary,5000000000
GATX,Industrials,5000000000
GBCI,Financials,5000000000
GEF,Materials,5000000000
GHC,Consumer Discretionary,5000000000
GME,Consumer Discretionary,5000000000
GNTX,Consumer Discretionary,5000000000
GPK,Materials,5000000000
GXO,Industrials,5000000000
HAE,Health Care,5000000000
HGV,Consumer Discretionary,5000000000
HIMS,Health Care,5000000000
HLI,Financials,5000000000
HLNE,Financials,5000000000
HOG,Consumer Discretionary,5000000000
HOMB,Financials,5000000000
HQY,Health Care,5000000000
HR,Real Estate,5000000000
HRB,Consumer Discretionary,5000000000
HWC,Financials,5000000000
HXL,Industrials,5000000000
IBOC,Financials,5000000000
IDA,Utilities,5000000000
IDCC,Information Technology,5000000000
INGR,Consumer Staples,5000000000
IPGP,Information Technology,5000000000
IRT,Real Estate,5000000000
KBH,Consumer Discretionary,5000000000
KBR,Industrials,5000000000
KD,Information Technology,5000000000
KEX,Industrials,5000000000
KNF,Materials,5000000000
KNSL,Financials,5000000000
KRC,Real Estate,5000000000
KRG,Real Estate,5000000000
KTOS,Industrials,5000000000
LAD,Consumer Discretionary,5000000000
LEA,Consumer Discretionary,5000000000
LIVN,Health Care,5000000000
LNTH,Health Care,5000000000
LOPE,Consumer Discretionary,5000000000
LPX,Industrials,5000000000
LSTR,Industrials,5000000000
M,Consumer Discretionary,5000000000
